station,rule,cut_MWh,avail_MWh,n_farms,r_s
Tawnaghmore,band6,95.268864,52816.255871999994,1,0.0018037792044722698
Trillick,band6,12483.820002217039,85093.84878860001,3,0.14670649147896447
Ardnagappary,band7,4016.9464477063666,62580.924698400006,3,0.06418803280816762
Binbane,band7,8011.677266164953,232467.07272,15,0.03446370779493056
Cathaleen's Fall,band7,24834.117728517667,159233.1576,2,0.15596071887804897
Corderry,band7,3580.3462146095453,166738.26998430002,7,0.02147285212295095
Cunghill,band7,14721.675517499856,93919.32576,2,0.1567480962876522
Garvagh,band7,3381.5281378496657,219480.50628,3,0.01540696344820581
Glenree,band7,750.2585483592723,211565.36305600003,4,0.0035462257976542383
Lenalea,band7,7087.397875990491,85450.34757,1,0.08294170916255866
Meentycat,band7,36729.08537371033,235244.0346048,3,0.15613184595908516
Moy,band7,19.61688,16647.58668,1,0.0011783617876317913
Mulreavy,band7,41976.59283728793,267677.476455,4,0.1568177995145764
Sligo,band7,7702.837133341495,49027.7481066,3,0.15711178732079187
Sorne Hill,band7,14592.032959144559,134982.14926,5,0.10810342729865463
Tawnaghmore,band7,60.569855999999994,52816.255871999994,1,0.0011468032900096292
Trillick,band7,12919.17731088108,85093.84878860001,3,0.15182269335326923
Ardnagappary,band8,3200.980912272954,62580.924698400006,3,0.05114946651395186
Binbane,band8,6765.961061329359,232467.07272,15,0.029105029723838643
Cathaleen's Fall,band8,26369.37660722877,159233.1576,2,0.16560229668665924
Corderry,band8,3390.462661884468,166738.26998430002,7,0.020334040062930436
Cunghill,band8,15599.198579430638,93919.32576,2,0.1660914668328496
Garvagh,band8,3380.2244419080753,219480.50628,3,0.015401023531428294
Glenree,band8,652.7203966917708,211565.36305600003,4,0.0030851949830700775
Lenalea,band8,5491.5629618170715,85450.34757,1,0.06426612785066138
Meentycat,band8,39024.446413681595,235244.0346048,3,0.1658892072619015
Moy,band8,31.611359999999998,16647.58668,1,0.0018988554081521682
Mulreavy,band8,44561.26211865919,267677.476455,4,0.1664737082432504
