rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
band3,68254-1,4371,Glenree,N,836.9808680243372,7613.9626955,0.1099271038613059,443
band3,68260-1,1571,Ardnagappary,N,4158.425100723171,48208.738472,0.0862587413096988,307
band3,68269-1,1341,Binbane,P,3596.237297313867,54752.2362,0.06568201678882053,288
band3,68269-2,1341,Binbane,N,647.3227135164962,9855.402516,0.06568201678882053,288
band3,68284-1,5361,Trillick,P,2090.419104420559,19477.828116000004,0.107323008087508,399
band3,68308-1,4091,Mulreavy,P,1564.6570128329818,14267.117844,0.10966875229750725,422
band3,68312-1,4371,Glenree,N,3948.022962378949,35914.918374999994,0.10992710386130593,443
band3,69197-1,17010,Cathaleen's Fall,P,5270.822280370228,47951.9999,0.10991871645316358,369
band4,13471-1,1341,Binbane,P,61.44716101763359,1806.8237946000002,0.034008385987210746,165
band4,13473-4,1341,Binbane,P,931.2621337247954,27348.741981900002,0.034051370053552195,166
band4,13474-1,1341,Binbane,P,560.1937407332082,16425.67086,0.034104770849719086,167
band4,13475-6,1341,Binbane,P,714.2470194348405,20942.7303465,0.034104770849719086,167
band4,13476-3,1341,Binbane,P,1125.3574967207976,32577.580539,0.03454392493554224,169
band4,13479-9,1341,Binbane,P,322.4138617400658,9307.880154,0.03463880673211188,169
band4,15771-1,1571,Ardnagappary,P,374.56035967115815,5314.771836,0.07047534141240944,257
band4,15772-1,1571,Ardnagappary,P,567.5156964714517,8052.6846,0.07047534141240944,257
band4,16373-3,1631,Corderry,P,116.55154476055688,18388.098960000003,0.006338422749088623,33
band4,16374-4,1631,Corderry,P,131.1204878556265,20686.611330000003,0.006338422749088623,33
band4,16377-1,1631,Corderry,P,154.2593974772076,24337.1898,0.006338422749088623,33
band4,16379-2,1631,Corderry,P,4.970580585376689,784.1983379999999,0.006338422749088624,33
band4,16382-1,1631,Corderry,P,175.2558154671609,27649.751745,0.006338422749088624,33
band4,16392-1,1631,Corderry,P,205.33639797521636,32395.503756000002,0.006338422749088623,33
band4,17075-7,1341,Binbane,P,221.9018674302663,5420.4713838,0.040937743550027356,193
band4,17077-8,1341,Binbane,P,2.241433004346124,54.7522362,0.040937743550027356,193
band4,19371-1,1931,Cunghill,P,7629.078099918568,64007.963800000005,0.11918951403854168,421
band4,19372-2,1931,Cunghill,P,3554.272304731291,29780.547368,0.11934879036341865,420
band4,26732-1,2671,Garvagh,N,66.89556582968984,91940.4948,0.0007275963216775058,8
band4,26771-1,2671,Garvagh,P,51.155432693292234,70307.4372,0.0007275963216775058,8
band4,26773-1,2671,Garvagh,P,43.285366125093425,59490.9084,0.0007275963216775057,8
band4,35971-1,3591,Lenalea,P,7107.580853163832,83960.75898500001,0.08465360412515609,302
band4,40471-1,4041,Moy,P,388.5147847066206,17036.26302,0.02280516473891706,80
band4,40771-1,4071,Meentycat,P,17313.86247901993,146494.080412,0.11818813722934343,498
band4,40772-2,4071,Meentycat,P,5910.933012686198,50012.9128968,0.11818813722934342,498
