bus,psse_name,station,in_CG3,in_NW,ws_p_nom,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0,ratio_to_next,step_change
3571,DERRYCARNEY,,False,False,34.0,-0.0022364793175623024,0.014776808038995098,0.014210604274916326,-0.004233268761346925,,False
2401,MOUNT LUCAS,,False,False,79.2,-0.002320962705023265,0.013080116145466305,0.012578924617728714,-0.004205224613463187,,False
1521,BOGTOWN,,False,False,56.4,-0.002320962705033725,0.013080116145458981,0.012578924617721681,-0.004205224613469213,,False
2241,DALLOW,,False,False,21.04,-0.002331434783996878,0.015449053855171958,0.01485709161128474,-0.0044068961405361665,,False
2301,DUNFIRTH,,False,False,14.0,-0.002922025541844335,0.015843522376113417,0.015236445260274399,-0.005198543001260977,,False
4001,MULLINGAR,,False,False,4.0,-0.008623652702059732,0.04109488936339239,0.039520254233765775,-0.014034439142369305,,False
3511,LICKNY,,False,False,97.5,-0.008623652702060489,0.04109488936339197,0.0395202542337654,-0.01403443914236985,,False
3501,LANESBORO_A1,,False,False,4.6,-0.02182531552838706,0.09765989698595964,0.09391785735689588,-0.03409915601876359,,False
4701,RICHMOND,,False,False,8.0,-0.021835443419585092,0.09770277138695341,0.09395908893711526,-0.03411455169575923,,False
66094,SLIABH BAWN,,False,False,58.0,-0.03340015861704993,0.13245282185374394,0.12737761981426937,-0.049290460452133915,,False
5341,TONROE,,False,False,13.540000000000001,-0.06098082124059622,0.21530421599110797,0.20705439253840613,-0.08547940260950512,,False
