name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Cloghan Wind Farm,C,Derrycarney,wind,TSO,connected,ECP-1,34,Y,wind not priority,N/A
Cloncreen Wind farm,J,Cushaling,wind,TSO,connected,ECP-1,75,Y,wind not priority,N/A
Cloncreen Wind farm (battery),J,Cushaling,battery,TSO,connected,ECP-1,25,N,battery,50
Clonfad Solar,J,Clonfad,solar,TSO,due to connected,ECP-1,100,Y,solar not priority,N/A
Cloonascragh Solar,B,Cloon,solar,DSO,due to connected,ECP-1,20,Y,solar not priority,N/A
Clooncon East Single WTG,C,Athlone,wind,DSO,connected,ECP-1,0.9,N,wind uncontrolled,N/A
Cluide Solar,G,Drybridge,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Confey Solar Park,J,Griffinrath,solar,DSO,due to connected,ECP-1,15.5,Y,solar not priority,N/A
Croaghonagh 1 Windfarm (Merged with Carrickalangan),A,Croaghonagh,wind,TSO,connected,ECP-1,138.1,Y,wind not priority,N/A
Crossmore (1),D,Booltiagh,wind,DSO,connected,ECP-1,15,Y,wind not priority,N/A
Currabeha,F,Bandon,solar,DSO,due to connected,ECP-1,4.95,Y,solar not priority,N/A
Davidstown Solar,H2,Wexford,solar,DSO,connected,ECP-1,4.95,Y,solar not priority,N/A
Dooleeg More (1),B,Bellacorick,wind,DSO,due to connected,ECP-1,2.5,Y,wind not priority,N/A
Dromroe Solar,E,Tralee,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Drumroe East Solar Farm,K,Dungarvan,solar,DSO,due to connected,ECP-1,15,Y,solar not priority,N/A
ESK Wind Farm Phase 2,E,Boggeragh,wind,DSO,connected,ECP-1,12,Y,wind not priority,N/A
Firgrove,D,Drumline,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Firlough TG371 was Carrowleagh-Kilbride DG741,B,Firlough,wind,TSO,due to connected,ECP-1,48.3,Y,wind not priority,N/A
Foxhall PV,K,Dungarvan,solar,DSO,due to connected,ECP-1,3.99,Y,solar not priority,N/A
Friarspark (was Glebe Golf Course),G,Navan,solar,DSO,connected,ECP-1,4,Y,solar not priority,N/A
